|   0 |   6 |  38 |  57 |  25 |  55 |   8 |  40 |  19 |  34 |  15 |  24 |   1 |  19 |  28 |   9 |  11 |  19 |  22 |  18 |  19 |  20 |  22 |  27 |  27 
|  15 |   0 |  32 |  51 |  23 |  68 |  20 |  34 |  13 |  28 |  28 |  37 |  13 |  13 |  22 |   3 |  23 |  13 |  16 |  15 |  16 |  33 |  28 |  21 |  21 
|  31 |  20 |   0 |  62 |  23 |  84 |  22 |  33 |  33 |  30 |  46 |  51 |  15 |  24 |  24 |   5 |  25 |  24 |  18 |  33 |  34 |  51 |  39 |  23 |  41 
|  26 |  11 |  20 |   0 |   1 |  50 |  31 |  43 |  22 |  17 |  10 |  19 |  24 |   8 |   0 |  14 |  33 |  20 |  27 |   7 |   8 |  15 |  17 |  32 |  25 
|  42 |  37 |  41 |  43 |   0 |  76 |  41 |  42 |  21 |  58 |  36 |  40 |  34 |  21 |  43 |  40 |  44 |  21 |  53 |  23 |  21 |  41 |  36 |  58 |  29 
|  45 |  30 |  41 |  59 |  50 |   0 |  41 |  42 |  21 |  58 |  36 |  45 |  34 |  14 |  52 |  33 |  39 |  21 |  46 |  23 |  24 |  41 |  29 |  51 |  29 
|  43 |  28 |  32 |  50 |  17 |  75 |   0 |  41 |  20 |  49 |  35 |  44 |  33 |  12 |  50 |  31 |  37 |  12 |  44 |  22 |  23 |  40 |  27 |  49 |  28 
|  38 |  30 |  34 |  52 |  41 |  69 |  24 |   0 |  14 |  51 |  29 |  38 |  27 |  14 |  52 |  33 |  37 |  14 |  46 |  16 |  17 |  34 |  29 |  51 |  22 
|  24 |  16 |  20 |  38 |  29 |  55 |  20 |  21 |   0 |  37 |  15 |  24 |  13 |   0 |  38 |  19 |  23 |   0 |  32 |   2 |   3 |  20 |  15 |  37 |   8 
|  25 |  18 |  23 |  41 |  32 |  56 |  30 |  52 |  31 |   0 |  16 |  25 |  23 |   3 |  32 |  13 |  28 |   3 |  26 |   3 |   4 |  21 |  17 |  31 |  31 
|  23 |   8 |  40 |  59 |  31 |  40 |  27 |  42 |  21 |  36 |   0 |   9 |  20 |  17 |  30 |  11 |  30 |  21 |  24 |  23 |  17 |   5 |   7 |  29 |  15 
|  23 |   8 |  40 |  59 |  24 |  76 |  18 |  42 |  21 |  36 |  36 |   0 |  21 |  21 |  23 |  11 |  31 |  21 |  24 |  23 |  24 |  41 |  36 |  29 |  29 
|  20 |   5 |  37 |  56 |  24 |  69 |   7 |  39 |  18 |  33 |  33 |  36 |   0 |  18 |  27 |   8 |  10 |  18 |  21 |  20 |  21 |  38 |  33 |  26 |  26 
|  31 |  16 |  48 |  67 |  39 |  81 |  36 |  50 |  29 |  44 |  44 |  50 |  29 |   0 |  38 |  19 |  25 |  29 |  32 |  31 |  32 |  46 |  15 |  37 |  37 
|  26 |  11 |  42 |  44 |   1 |  76 |  31 |  43 |  22 |  39 |  36 |  41 |  24 |  22 |   0 |  14 |  34 |  22 |  27 |  24 |  22 |  41 |  37 |  32 |  30 
|  30 |  15 |  29 |  63 |  20 |  79 |  17 |  49 |  28 |  25 |  41 |  46 |  10 |  28 |  19 |   0 |  20 |  28 |  13 |  28 |  29 |  46 |  42 |  18 |  36 
|  75 |  60 |  75 |  93 |  79 | 110 |  62 |  41 |  55 |  88 |  70 |  79 |  55 |  55 |  82 |  63 |   0 |  55 |  76 |  57 |  58 |  75 |  70 |  81 |  63 
|  31 |  16 |  20 |  38 |  29 |  79 |  36 |  50 |  29 |  37 |  39 |  48 |  29 |   0 |  38 |  19 |  25 |   0 |  32 |  31 |  32 |  44 |  15 |  37 |  37 
|  23 |  17 |  16 |  50 |   7 |  68 |  31 |  48 |  28 |  12 |  28 |  37 |  24 |  15 |   6 |  20 |   7 |  15 |   0 |  15 |  16 |  33 |  29 |  38 |  23 
|  22 |  17 |  26 |  65 |  40 |  53 |  30 |  51 |  30 |  45 |  13 |  22 |  23 |   1 |  39 |  20 |  26 |  30 |  33 |   0 |   1 |  18 |  16 |  38 |  28 
|  21 |  16 |  25 |  64 |  39 |  76 |  29 |  50 |  29 |  44 |  36 |  45 |  22 |   0 |  38 |  19 |  25 |  29 |  32 |  31 |   0 |  41 |  15 |  37 |  37 
|  18 |   3 |  35 |  54 |  26 |  35 |  22 |  37 |  16 |  31 |  31 |   4 |  16 |  16 |  25 |   6 |  26 |  16 |  19 |  18 |  19 |   0 |   2 |  24 |  24 
|  16 |   1 |  33 |  52 |  24 |  66 |  21 |  35 |  14 |  29 |  29 |  35 |  14 |  14 |  23 |   4 |  24 |  14 |  17 |  16 |  17 |  31 |   0 |  22 |  22 
|  17 |   2 |  22 |  53 |  13 |  68 |  22 |  36 |  15 |  18 |  30 |  39 |  15 |  15 |  12 |   5 |  13 |  15 |   6 |  17 |  18 |  35 |  30 |   0 |  23 
|  25 |  10 |  42 |  61 |  29 |  74 |  12 |  44 |  23 |  38 |  38 |  41 |   5 |  23 |  32 |  13 |  15 |  23 |  26 |  25 |  26 |  43 |  38 |  31 |   0 
