|   0 |  26 |  21 |  27 |  42 |  32 |  33 |  37 |  32 |  46 |  38 |  54 |  27 |  38 |  31 |  43 |  22 |  26 |  24 |  38 |  29 |  24 |  32 |  26 |  35 
|  14 |   0 |   9 |   3 |  19 |   6 |  10 |  19 |   6 |  23 |  16 |  42 |  15 |  15 |  23 |  17 |  10 |   0 |  12 |  16 |   7 |  12 |  10 |   3 |  23 
|  17 |   5 |   0 |   6 |  21 |  11 |  12 |  23 |  11 |  25 |  19 |  33 |   6 |  17 |  14 |  22 |   1 |   5 |   3 |  18 |   8 |   3 |  13 |   5 |  14 
|  11 |  10 |  19 |   0 |  29 |  13 |  17 |  26 |  13 |  33 |  13 |  46 |  25 |  25 |  33 |  27 |  20 |  10 |  22 |  19 |  14 |  22 |   7 |  13 |  33 
|   8 |  17 |  12 |  13 |   0 |  10 |  10 |  19 |   6 |   4 |  25 |  26 |  18 |  15 |  25 |   5 |  13 |  11 |  13 |  16 |  12 |  13 |  20 |   3 |   5 
|  27 |  13 |  22 |  16 |  31 |   0 |  25 |  34 |  21 |  35 |  29 |  55 |  28 |  28 |  36 |  27 |  23 |  13 |  21 |  29 |  22 |  25 |  23 |  16 |  20 
|  19 |   7 |   2 |   8 |  12 |   7 |   0 |  20 |   7 |  16 |  21 |  35 |   8 |  16 |  16 |  17 |   3 |   1 |   5 |  17 |   8 |   5 |  15 |   4 |  16 
|  16 |  25 |  20 |  21 |   8 |  14 |  18 |   0 |  14 |  12 |  33 |  34 |  21 |  23 |  33 |  13 |  21 |  19 |  21 |  24 |  15 |  21 |  28 |  11 |  13 
|  14 |  13 |   6 |  12 |  16 |   0 |   4 |  13 |   0 |  20 |  25 |  39 |  12 |  23 |  20 |  21 |   7 |   5 |   9 |  24 |   1 |   9 |  19 |  11 |  20 
|  16 |  15 |   8 |  14 |  18 |   2 |   6 |  15 |   2 |   0 |  21 |  33 |  14 |  22 |  22 |  21 |   9 |   7 |  11 |  16 |   3 |  11 |  21 |  10 |   1 
|  29 |  23 |  28 |  18 |  24 |  15 |  26 |  35 |  22 |  28 |   0 |  48 |  34 |  20 |  42 |  29 |  25 |  19 |  31 |  21 |  23 |  31 |  25 |   8 |  29 
|  19 |  28 |  23 |  20 |  25 |  17 |  21 |  30 |  17 |  29 |  19 |   0 |  29 |  21 |  37 |  30 |  24 |  22 |  17 |  39 |  18 |  17 |  27 |  27 |  16 
|  24 |  23 |  29 |  16 |  25 |  21 |  27 |  17 |  29 |  29 |  27 |  51 |   0 |  38 |  41 |  21 |  30 |  23 |  18 |  35 |  23 |  18 |  21 |  26 |  29 
|  12 |  21 |  16 |  17 |   4 |  14 |  14 |  23 |  10 |   8 |  29 |  30 |  22 |   0 |  29 |   9 |  17 |  15 |  19 |  20 |  11 |  19 |  24 |   7 |   9 
|  18 |   4 |  13 |   7 |  23 |  10 |  14 |  17 |  10 |  27 |   7 |  46 |  19 |  19 |   0 |  21 |  14 |   4 |  16 |  20 |  11 |  16 |   1 |   7 |  27 
|   3 |  18 |  13 |  11 |  23 |  18 |  11 |  31 |  18 |  27 |  24 |  46 |  19 |  27 |  20 |   0 |  14 |  12 |   8 |  28 |   7 |   8 |  18 |  15 |  19 
|  18 |   4 |  13 |   7 |  23 |  10 |  14 |  26 |  10 |  27 |  20 |  32 |  19 |  19 |  27 |  21 |   0 |   4 |  16 |  20 |  11 |  16 |  14 |   7 |  27 
|  20 |  14 |   9 |  13 |  19 |   6 |  10 |  19 |   6 |  23 |  26 |  42 |  15 |  15 |  23 |  17 |  10 |   0 |  12 |  16 |   7 |  12 |  20 |   3 |  23 
|  14 |  13 |  11 |   3 |  21 |  16 |   9 |  29 |  16 |  25 |  16 |  44 |  17 |  25 |  25 |  26 |  12 |  10 |   0 |  22 |  17 |  14 |  10 |  13 |  25 
|  15 |   5 |   7 |   8 |  17 |   1 |   5 |  14 |   1 |  21 |  21 |  27 |  13 |  20 |  21 |  22 |   4 |   5 |  10 |   0 |   2 |  10 |  15 |   8 |  21 
|  13 |  28 |  23 |  29 |  33 |  28 |  21 |  41 |  28 |  37 |  36 |  56 |  29 |  40 |  29 |  38 |  24 |  22 |  26 |  41 |   0 |  26 |  30 |  28 |  32 
|  14 |  11 |  11 |   3 |  21 |  12 |   9 |  25 |  12 |  25 |  16 |  44 |  17 |  25 |  25 |  26 |  12 |  10 |   0 |  22 |   5 |   0 |  10 |  13 |  11 
|  17 |   3 |  20 |   6 |  30 |  19 |  18 |  25 |  19 |  34 |   6 |  47 |  26 |  26 |  34 |  20 |  21 |   3 |  23 |  25 |  20 |  23 |   0 |  14 |  34 
|  21 |  18 |  20 |  10 |  16 |   7 |  18 |  27 |  14 |  20 |  23 |  40 |  26 |  12 |  34 |  21 |  17 |  18 |  23 |  13 |  15 |  23 |  17 |   0 |  21 
|  31 |  14 |   7 |  22 |  32 |   1 |   5 |  14 |   1 |  20 |  35 |  40 |  13 |  21 |  31 |  28 |   8 |   6 |  22 |  22 |   2 |  10 |  29 |   9 |   0 
