|   0 |  26 |  22 |  31 |  19 |  20 |  15 |  23 |  31 |   5 |  21 |  17 |  12 |  21 |  24 |  28 |   5 |  26 |  16 |  24 |  22 |  19 |  25 |  18 |  18 |  26 |  21 |  24 |  26 |  11 |  24 |  21 |  26 |  11 |  19 |  26 |  10 |  17 |  16 |  10 |  18 |  19 |  23 |  25 |  15 |  24 |  28 |  41 |  15 |  42 
|  36 |   0 |  28 |  39 |  32 |  36 |  28 |  36 |  37 |  19 |  39 |  31 |  39 |  18 |  32 |  53 |  36 |  40 |  32 |  30 |  36 |  16 |  34 |  36 |  32 |  35 |  27 |  49 |  40 |  25 |  33 |  29 |  39 |  17 |  16 |  35 |  24 |  26 |  30 |  24 |  24 |  32 |  32 |  38 |  31 |  42 |  37 |  29 |  24 |  50 
|  13 |  23 |   0 |  15 |   9 |  14 |   5 |  13 |  28 |  11 |  15 |  14 |  11 |  18 |   8 |  27 |  18 |  27 |  15 |   2 |  19 |  17 |  17 |  12 |  19 |  20 |   4 |  23 |  17 |  12 |   9 |   5 |  22 |   8 |  18 |  20 |  16 |  11 |  15 |  11 |  12 |   9 |  17 |  15 |  14 |  18 |   9 |  38 |   9 |  26 
|   7 |  17 |   9 |   0 |  12 |   9 |  12 |   4 |  37 |   6 |  10 |   9 |  18 |  11 |   3 |  25 |  12 |  23 |  14 |   9 |  14 |  14 |   2 |   7 |  15 |  13 |  13 |  30 |  20 |   8 |  13 |  14 |  17 |  17 |  16 |  13 |   7 |   4 |  10 |   7 |   5 |  12 |  10 |  18 |  21 |  13 |  16 |  33 |   2 |  21 
|   4 |  30 |  21 |  30 |   0 |  24 |  19 |  16 |  35 |   9 |  25 |  21 |  16 |  10 |  23 |  25 |   9 |  30 |  15 |  12 |  25 |   8 |  26 |  22 |  22 |  13 |  21 |  28 |  20 |  15 |  24 |  20 |  30 |  15 |  23 |  28 |  14 |  19 |  20 |  14 |  17 |  12 |  18 |  18 |  19 |  28 |  19 |  44 |  17 |  40 
|  10 |  20 |  12 |  13 |  15 |   0 |  17 |   7 |  28 |   9 |  13 |  12 |  19 |   9 |   6 |  28 |  15 |  30 |  17 |  12 |  17 |   7 |   5 |  10 |  22 |  16 |  16 |  30 |  20 |  15 |  19 |  17 |  20 |   8 |   7 |  16 |  14 |   7 |   1 |  14 |   8 |  15 |  13 |  21 |  22 |  16 |  11 |  36 |   5 |  24 
|   8 |  23 |  13 |  28 |   4 |  18 |   0 |   8 |  33 |  13 |  28 |  25 |  20 |  14 |  21 |  29 |  13 |  22 |  19 |  15 |  17 |  12 |  23 |  25 |  14 |  15 |  17 |  30 |  12 |   7 |  19 |  18 |  32 |  13 |  25 |  20 |  18 |  11 |  19 |   6 |   9 |   4 |  17 |  10 |  23 |  26 |  22 |  36 |   9 |  39 
|   3 |  16 |   5 |  20 |  10 |  19 |  10 |   0 |  33 |   8 |  20 |  19 |  15 |  10 |  13 |  31 |   8 |  28 |  13 |   7 |  23 |  18 |  22 |  17 |  20 |  12 |   9 |  27 |  18 |  13 |  14 |  10 |  27 |  13 |  22 |  12 |  13 |   3 |  19 |  12 |   1 |  10 |   9 |  16 |  18 |  23 |  14 |  42 |   1 |  31 
|  14 |  16 |  20 |  17 |  21 |  16 |  17 |  21 |   0 |  13 |  17 |  16 |  25 |  10 |  10 |  31 |  19 |  18 |   2 |  16 |  21 |  21 |  19 |  14 |  10 |  11 |  16 |  27 |  18 |  19 |  11 |   7 |  24 |  12 |  23 |   0 |  18 |   3 |  17 |  18 |  19 |  21 |  24 |  27 |  28 |  20 |  23 |  40 |  19 |  28 
|  18 |  21 |  23 |  29 |  14 |  17 |  10 |  18 |  38 |   0 |  29 |  12 |  29 |  19 |  22 |  39 |  22 |  21 |  29 |  23 |  17 |  17 |  21 |  26 |  13 |  25 |  18 |  40 |  21 |   6 |  19 |  28 |  36 |  18 |  17 |  30 |   5 |  21 |  11 |   5 |  19 |  14 |  27 |  20 |  32 |  25 |  23 |  36 |  19 |  40 
|  24 |  33 |  23 |  38 |  20 |  33 |  19 |  24 |  38 |  18 |   0 |  30 |  25 |  19 |  31 |  15 |  18 |  38 |  29 |  25 |  33 |  17 |  35 |  31 |  30 |  13 |  27 |  37 |  28 |  23 |  32 |  28 |  39 |  18 |  17 |  36 |  23 |  27 |  29 |  22 |  25 |  20 |  10 |  26 |  28 |  35 |  32 |  27 |  25 |  49 
|  18 |   9 |  20 |  31 |  24 |  25 |  20 |  15 |  36 |  10 |  26 |   0 |  17 |  18 |  24 |  33 |  10 |  31 |  21 |  22 |   5 |  18 |  23 |  23 |  23 |  27 |  21 |  29 |  31 |  16 |   7 |  25 |  31 |  16 |  18 |  27 |  15 |  18 |  21 |  15 |  16 |  24 |  24 |  30 |  20 |  29 |  29 |  24 |  16 |  42 
|  17 |  18 |  16 |  19 |  13 |  18 |  13 |  17 |  28 |   8 |  19 |  18 |   0 |   9 |  12 |  16 |   8 |  29 |   4 |  18 |  23 |   7 |  21 |  16 |  21 |  14 |  12 |  12 |  21 |  14 |  13 |   9 |  14 |   8 |   7 |  14 |  13 |   5 |  19 |  13 |  15 |  13 |  11 |  19 |   3 |  22 |  23 |  42 |   3 |  30 
|  21 |  36 |  26 |  41 |  17 |  31 |  13 |  21 |  46 |  26 |  41 |  38 |  33 |   0 |  34 |  42 |  26 |  35 |  32 |  28 |  30 |  25 |  36 |  38 |  27 |  28 |  30 |  43 |  25 |  20 |  32 |  31 |  45 |  26 |  38 |  33 |  31 |  24 |  32 |  19 |  22 |  17 |  30 |  23 |  36 |  39 |  35 |  49 |  22 |  52 
|  11 |  15 |  16 |   7 |  12 |   6 |  13 |  11 |  34 |   3 |   7 |   6 |  15 |  13 |   0 |  22 |  16 |  24 |  19 |   6 |  11 |  11 |   9 |   4 |  16 |  17 |  20 |  27 |  22 |   9 |  13 |  21 |  14 |  14 |  13 |  20 |   8 |  11 |   7 |   8 |  12 |  17 |  14 |  23 |  18 |  10 |  13 |  30 |   9 |  18 
