File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph1000-7.txt, 5406884910, 5419478520, 6011894387, 6008874588, 5715537365, 6018350495, 5392286686, 6008941911, 5422066864, 5400725439, 
graph1000-10.txt, 5726507157, 5726707611, 5709909341, 5832301280, 5722674927, 5887210777, 5722597661, 5824035750, 5762648159, 5889296610, 
graph1000-6.txt, 5751152495, 5881672989, 5832830558, 5837118726, 5740151633, 5733186510, 5862911380, 5715489663, 5729834030, 5734051785, 
graph1000-8.txt, 5853842764, 5741625300, 5861667782, 5747173843, 5876737985, 5743388120, 6035399636, 5745397614, 5872238465, 5860507628, 
graph1000-5.txt, 5489004871, 5595095604, 6059978603, 5427324728, 6043053949, 5463656700, 5466027127, 5471886223, 5449880141, 5588665710, 
graph1000-3.txt, 5419670949, 5432731622, 5561995477, 5438862736, 5442025540, 5444105321, 6087900575, 6049936547, 5436543949, 6043636484, 
graph1000-2.txt, 5798630721, 5862508281, 5749508294, 5747583503, 5870621643, 5880720440, 5764908061, 5889939952, 5753522048, 5878341249, 
graph1000-1.txt, 6124850675, 5433319141, 5553201582, 5429365388, 6828043537, 5488467029, 6426688698, 5454466005, 6060726611, 6031345295, 
graph1000-4.txt, 5964418437, 5905606982, 5756927086, 5866287770, 5753909240, 5936087157, 5787189135, 5771928149, 5770672538, 5802476459, 
graph1000-9.txt, 5444377870, 5438772182, 6035742316, 5483146386, 5779182792, 5426464507, 6030748951, 5464116101, 6040100600, 5432686000, 
