File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph50-5.txt, 157241, 139587, 134938, 132303, 131561, 130991, 130669, 128946, 128806, 173030, 
graph50-9.txt, 143685, 137744, 148043, 160116, 133535, 137312, 160026, 165436, 160477, 138935, 
graph50-7.txt, 147382, 140629, 137793, 158173, 136240, 144275, 144125, 134647, 144135, 134467, 
graph50-6.txt, 147933, 153624, 152842, 142342, 141791, 140659, 134277, 132333, 136942, 134337, 
graph50-2.txt, 142422, 135599, 141320, 130760, 129657, 137773, 126251, 122264, 141119, 121452, 
graph50-8.txt, 151440, 151660, 148594, 147482, 202517, 145709, 145037, 144085, 143715, 160085, 
graph50-3.txt, 141781, 157842, 147402, 169945, 170736, 158052, 135830, 147933, 141209, 141130, 
graph50-1.txt, 157080, 135930, 142402, 131141, 131181, 142101, 129978, 129898, 129778, 129267, 
graph50-10.txt, 142302, 135058, 141180, 151329, 152782, 142642, 137382, 135469, 132122, 142012, 
graph50-4.txt, 143103, 135229, 150437, 129137, 128615, 172189, 129958, 128435, 126912, 126531, 
