File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph100-7.txt, 8626860, 8610318, 8644022, 8510360, 8512424, 8528194, 8484831, 8325442, 8354276, 8517022, 
graph100-8.txt, 9445713, 9379228, 9200611, 8989894, 9200510, 9056399, 9176736, 9042202, 9026753, 9030751, 
graph100-3.txt, 8278823, 8333958, 8146494, 8040905, 8260660, 8175469, 7991963, 8006781, 8016539, 8015818, 
graph100-2.txt, 9234184, 9229415, 9122533, 9194740, 9072619, 9098558, 9002647, 9091655, 8999412, 9145637, 
graph100-6.txt, 9323041, 11198146, 8912528, 9281844, 9194209, 10570693, 9574235, 9332289, 9304727, 9396780, 
graph100-9.txt, 9146509, 9072439, 8960338, 9013448, 8887000, 8674630, 8766092, 8651576, 8685300, 8788985, 
graph100-1.txt, 8752136, 8752075, 8682264, 8801138, 8751995, 8942615, 8684668, 8687403, 8689628, 8854338, 
graph100-10.txt, 9294348, 13633386, 9578092, 8997528, 8914411, 9114429, 9115441, 8906427, 9001716, 8946563, 
graph100-5.txt, 8538683, 8706229, 8533213, 8406154, 8441851, 8577296, 8349857, 8359896, 8351651, 12155531, 
graph100-4.txt, 9096455, 9011474, 8838728, 8842906, 8955027, 8915384, 13386660, 9701074, 9066387, 8845902, 
