File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph15-9.txt, 40998, 37642, 40898, 37662, 39786, 38855, 45377, 38223, 38784, 37532, 
graph15-5.txt, 44856, 40858, 42361, 41680, 51048, 41400, 40468, 41981, 36850, 46930, 
graph15-3.txt, 40227, 38113, 41279, 36369, 38875, 37511, 37412, 38163, 37502, 38473, 
graph15-1.txt, 43343, 37331, 38504, 40588, 37181, 40918, 39205, 39766, 39024, 36750, 
graph15-7.txt, 45076, 45287, 38955, 40107, 37212, 38895, 39094, 40698, 38815, 35568, 
graph15-2.txt, 41058, 40358, 38674, 36490, 37291, 35978, 37962, 37742, 38033, 37341, 
graph15-10.txt, 22623, 20820, 19757, 20579, 19478, 19347, 22743, 21111, 20199, 19547, 
graph15-8.txt, 22994, 33814, 19428, 18876, 104189, 18956, 30197, 18786, 19096, 91295, 
graph15-4.txt, 38905, 23245, 20730, 95222, 21140, 30809, 19958, 19227, 98899, 19097, 
graph15-6.txt, 23084, 20709, 94912, 19467, 30037, 18957, 19077, 92116, 19077, 29877, 
