File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph10-4.txt, 100806, 99745, 100005, 99484, 106166, 100406, 99855, 100065, 105996, 100045, 
graph10-7.txt, 107408, 106126, 120182, 99163, 119220, 98582, 98582, 98963, 95647, 98713, 
graph10-9.txt, 98812, 98942, 98792, 96959, 99944, 99173, 98912, 99443, 98602, 98802, 
graph10-6.txt, 109352, 115683, 101758, 114772, 99133, 99033, 98732, 98782, 107018, 98902, 
graph10-10.txt, 112748, 138706, 129960, 125762, 129018, 112207, 88473, 88503, 121695, 125581, 
graph10-2.txt, 72083, 63858, 13866, 12803, 13254, 12743, 14357, 15389, 15398, 15238, 
graph10-8.txt, 14617, 8165, 9217, 8155, 7714, 10920, 12223, 7604, 7614, 10359, 
graph10-5.txt, 7644, 7674, 7594, 7543, 7604, 7564, 8486, 7614, 11531, 11301, 
graph10-3.txt, 15248, 15859, 26198, 16410, 17562, 210639, 7614, 7393, 7414, 8706, 
graph10-1.txt, 11451, 11622, 11251, 14456, 14217, 9117, 10169, 9407, 11000, 9328, 
