File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph100-7.txt, 11340614, 11473787, 11891892, 12426657, 12040023, 11843630, 12128792, 11992412, 12210778, 11944662, 
graph100-8.txt, 11986772, 11743921, 11702041, 11826097, 11747798, 10714013, 10419192, 10423801, 10148157, 10052686, 
graph100-3.txt, 9723370, 9519222, 9492381, 9056954, 9119652, 8841244, 8906407, 8874517, 9114552, 8887531, 
graph100-2.txt, 8908281, 9006607, 8988202, 9461813, 8921997, 8881530, 8902560, 8895617, 8920113, 8928790, 
graph100-6.txt, 8896910, 8874457, 8876450, 8849839, 8878524, 8850782, 8822848, 8854549, 8854088, 9382382, 
graph100-9.txt, 9236374, 8711095, 8761031, 8796387, 8825653, 8906767, 8762473, 9074396, 8998442, 8717127, 
graph100-1.txt, 8845261, 9734851, 9283844, 8985417, 8848036, 8611456, 8680978, 8661652, 8665789, 8708371, 
graph100-10.txt, 9078073, 8758816, 8797159, 8664076, 8490507, 8477441, 8393642, 8379585, 8456342, 8423248, 
graph100-5.txt, 8886519, 8819873, 8848697, 8861231, 8969046, 8806637, 8820433, 8957063, 8945401, 8968154, 
graph100-4.txt, 8688963, 8686088, 8597049, 8648236, 8625543, 8607018, 8538608, 8631394, 8566251, 8604884, 
