File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph25-7.txt, 287456, 277367, 280252, 272689, 269302, 325058, 285433, 269512, 293728, 261968, 
graph25-6.txt, 245798, 230668, 240908, 209117, 221121, 211091, 184030, 194069, 181756, 174853, 
graph25-10.txt, 244284, 262098, 236610, 247050, 211733, 212905, 221702, 226260, 213585, 217504, 
graph25-9.txt, 310520, 301883, 275273, 267628, 243442, 244685, 292556, 286986, 277027, 251417, 
graph25-5.txt, 299328, 294961, 270294, 254584, 387917, 238142, 244425, 238192, 251057, 248302, 
graph25-8.txt, 233133, 221762, 214308, 213005, 203487, 206142, 212945, 536239, 194760, 197064, 
graph25-2.txt, 234736, 218004, 216291, 210970, 218646, 224657, 205070, 223995, 212564, 213125, 
graph25-3.txt, 356658, 307694, 298387, 286595, 296002, 305380, 439976, 340327, 276847, 290111, 
graph25-1.txt, 316382, 361217, 296283, 277217, 277698, 298077, 258882, 281344, 281365, 282366, 
graph25-4.txt, 240467, 212124, 308215, 262378, 237301, 238504, 224557, 238794, 257429, 258862, 
