File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph20-2.txt, 229073, 243208, 209347, 201262, 186715, 197956, 182096, 205058, 195911, 203796, 
graph20-9.txt, 221789, 239262, 221399, 214466, 205259, 217782, 219435, 212653, 210168, 216369, 
graph20-8.txt, 240955, 277753, 358332, 303591, 207113, 232168, 210238, 208685, 202684, 222912, 
graph20-6.txt, 205539, 211110, 261823, 221218, 198947, 209627, 217361, 212572, 208876, 270710, 
graph20-10.txt, 227790, 206972, 226829, 198386, 196102, 194509, 221429, 193357, 192465, 194529, 
graph20-4.txt, 260641, 212382, 247647, 285978, 265250, 225326, 267684, 214256, 222140, 242398, 
graph20-3.txt, 240694, 230566, 269508, 196162, 196413, 197956, 232940, 259238, 234272, 234262, 
graph20-5.txt, 245603, 206521, 219345, 228191, 224214, 214556, 223783, 248709, 187847, 237518, 
graph20-1.txt, 270880, 191674, 177667, 153533, 153122, 164714, 146711, 142533, 155317, 139728, 
graph20-7.txt, 156860, 173951, 142783, 140219, 134608, 129088, 127866, 143465, 133175, 123478, 
