File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph25-7.txt, 349986, 372547, 332474, 309301, 309091, 329078, 323768, 312487, 324539, 312838, 
graph25-6.txt, 479965, 336892, 338174, 315011, 322686, 321353, 310223, 322825, 317676, 328557, 
graph25-10.txt, 393376, 332022, 313800, 463556, 363411, 340970, 359294, 307368, 332885, 312447, 
graph25-9.txt, 354324, 347081, 322385, 354244, 337182, 370234, 495474, 330670, 318748, 313088, 
graph25-5.txt, 354805, 338715, 346539, 377156, 329128, 318338, 340398, 354645, 304532, 433981, 
graph25-8.txt, 349044, 310413, 313299, 305985, 329228, 297269, 295786, 310293, 325731, 309922, 
graph25-2.txt, 342192, 472483, 502528, 431366, 399147, 393125, 372778, 352962, 331822, 323928, 
graph25-3.txt, 329338, 326122, 312306, 324048, 326062, 364433, 324328, 358161, 435995, 331783, 
graph25-1.txt, 326853, 355056, 309721, 305514, 296908, 316915, 301456, 345558, 309892, 320201, 
graph25-4.txt, 325280, 306946, 305725, 415417, 322054, 313479, 313078, 337783, 425796, 481819, 
