File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph20-2.txt, 512286, 470216, 460658, 430412, 423818, 53942, 411595, 46708, 418689, 44935, 
graph20-9.txt, 106120, 493741, 97574, 508248, 75061, 482078, 64461, 454898, 84129, 458314, 
graph20-8.txt, 443266, 73859, 425803, 98135, 426043, 60153, 403030, 121599, 406015, 46227, 
graph20-6.txt, 84960, 439558, 64782, 413119, 46066, 451260, 43963, 387610, 41868, 409572, 
graph20-10.txt, 435882, 107973, 451732, 73268, 496115, 78919, 428879, 52409, 421224, 45406, 
graph20-4.txt, 85791, 432365, 78147, 412998, 44193, 416765, 59803, 412237, 42801, 383042, 
graph20-3.txt, 495214, 131788, 505633, 113604, 509981, 84109, 484684, 70062, 477139, 59833, 
graph20-5.txt, 110057, 505683, 82626, 497517, 82886, 491366, 67608, 468824, 56236, 529809, 
graph20-1.txt, 97574, 89248, 104707, 98345, 89770, 81234, 73138, 68840, 70193, 59612, 
graph20-7.txt, 106861, 92564, 116580, 102142, 87826, 79379, 73378, 68860, 63560, 59923, 
