File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph50-5.txt, 2208487, 2158322, 2805211, 2154565, 2201934, 2099691, 2286195, 1966417, 1861939, 2589942, 
graph50-9.txt, 1689521, 1808377, 1747251, 1770805, 1754945, 1762109, 1689672, 1758192, 1756749, 1980354, 
graph50-7.txt, 1729307, 1690874, 1758964, 1680494, 1677318, 1620740, 1632252, 1601574, 1714588, 1815541, 
graph50-6.txt, 1484571, 1529928, 1510010, 1473801, 1453493, 1664974, 1508497, 1429868, 1456267, 1443754, 
graph50-2.txt, 1406032, 1404359, 1433835, 1417174, 1371306, 1344375, 1488509, 1470545, 1413516, 1454755, 
graph50-8.txt, 1559705, 1464503, 1565806, 1422643, 1321342, 1355336, 1337592, 1341369, 1361488, 1329076, 
graph50-3.txt, 1579772, 1518987, 1617665, 1602636, 1754124, 1611082, 1718516, 1671096, 1594420, 1555326, 
graph50-1.txt, 1585904, 1598188, 1622223, 1540719, 1656048, 1515440, 1643443, 1575535, 1609689, 1782608, 
graph50-10.txt, 1329727, 1341820, 1329146, 1279822, 1258682, 1319177, 1265425, 1316522, 1287136, 1282898, 
graph50-4.txt, 1563371, 1407996, 1504960, 1533464, 1584853, 1607435, 1658823, 1642422, 1578870, 1435378, 
