File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph500-3.txt, 704729309, 706589592, 722448331, 685586995, 688177880, 679678268, 727776958, 676892928, 742758520, 675220927, 
graph500-5.txt, 691387768, 685016853, 687020496, 683869578, 690185792, 676975502, 681718276, 683631520, 683599326, 673434345, 
graph500-9.txt, 702280243, 699255814, 687744813, 715021380, 690019058, 690601310, 695016958, 699629630, 693223119, 692897209, 
graph500-1.txt, 692411433, 688665137, 695971313, 690910516, 689002059, 689329469, 692712019, 680637732, 688946632, 684859124, 
graph500-2.txt, 790641925, 788845030, 784018799, 782682101, 779370673, 794905950, 779194412, 788571773, 780438256, 782020718, 
graph500-10.txt, 815822924, 785818101, 785378423, 781041760, 785276005, 788589151, 785830961, 795691382, 779954667, 790383276, 
graph500-8.txt, 792914010, 782080281, 790774746, 807185562, 781046635, 783043723, 787005078, 785344827, 791947042, 782235758, 
graph500-7.txt, 688143298, 687253320, 679542954, 684830742, 688231470, 692762425, 685055639, 688464167, 679199594, 689915617, 
graph500-6.txt, 790958799, 784312735, 780880196, 781419248, 775869074, 780261556, 786663539, 777277241, 780862116, 777155904, 
graph500-4.txt, 786421353, 793051517, 775838869, 776230696, 777590127, 776328347, 774689934, 778550520, 780588673, 779146412, 
