File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph25-7.txt, 22162, 19177, 17343, 16181, 15429, 15169, 14738, 14467, 14427, 14347, 
graph25-6.txt, 19187, 16852, 15941, 14398, 14237, 14337, 14748, 14158, 14748, 13917, 
graph25-10.txt, 20058, 16662, 16060, 15499, 14447, 14928, 14828, 14478, 14858, 14778, 
graph25-9.txt, 20269, 16582, 16071, 14918, 14558, 14337, 14317, 14217, 14298, 14197, 
graph25-5.txt, 21461, 17594, 16111, 16161, 15068, 14828, 14688, 14388, 14377, 15038, 
graph25-8.txt, 19126, 15960, 15019, 15019, 15029, 14317, 15019, 15039, 15009, 15028, 
graph25-2.txt, 21962, 17263, 16221, 15720, 15309, 15309, 15149, 14658, 15169, 14688, 
graph25-3.txt, 20038, 17493, 15570, 14898, 15209, 14528, 15089, 15029, 26069, 26982, 
graph25-1.txt, 19668, 16541, 15029, 13606, 13515, 14227, 14207, 14157, 13385, 13396, 
graph25-4.txt, 20600, 16742, 17173, 15089, 15499, 14759, 16261, 15921, 15841, 15069, 
