File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph10-4.txt, 449129, 194620, 153773, 171737, 161147, 157581, 187065, 150959, 149025, 149496, 
graph10-7.txt, 169222, 150909, 113149, 84205, 85448, 83124, 84055, 79947, 85608, 84846, 
graph10-9.txt, 85047, 76781, 75749, 82743, 94354, 89215, 104643, 91269, 88734, 116485, 
graph10-6.txt, 81671, 79286, 81280, 104623, 77312, 80769, 78265, 82893, 74167, 75429, 
graph10-10.txt, 83624, 99073, 79457, 87882, 87601, 86270, 57146, 61524, 47207, 59881, 
graph10-2.txt, 57085, 46385, 45123, 44493, 53890, 44622, 42819, 43490, 43019, 42970, 
graph10-8.txt, 52457, 48639, 66823, 47668, 45224, 45273, 44492, 43541, 62466, 48549, 
graph10-5.txt, 52117, 51876, 54290, 48630, 46065, 72705, 52457, 44562, 59410, 47538, 
graph10-3.txt, 45935, 41837, 38912, 35486, 34254, 33282, 33482, 33782, 51064, 39012, 
graph10-1.txt, 34904, 30727, 34694, 33702, 32410, 31118, 32690, 33141, 33773, 48249, 
