File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph20-2.txt, 104590, 111273, 124337, 122294, 129247, 126291, 122434, 121642, 121973, 121212, 
graph20-9.txt, 133044, 124598, 122935, 122514, 130099, 123075, 122023, 122514, 122544, 122244, 
graph20-8.txt, 123186, 119348, 117916, 117414, 115611, 118276, 121221, 116122, 119799, 116172, 
graph20-6.txt, 126181, 116493, 115922, 119268, 115250, 114850, 115210, 140508, 123897, 120120, 
graph20-10.txt, 125990, 131952, 128546, 17664, 12694, 9759, 8787, 8376, 8336, 8286, 
graph20-4.txt, 18375, 9619, 8877, 8265, 7955, 7885, 7855, 7815, 8887, 7865, 
graph20-3.txt, 18274, 16301, 14819, 12814, 8977, 13536, 7504, 7334, 8766, 8827, 
graph20-5.txt, 20309, 17313, 9839, 9227, 9168, 9208, 7765, 7745, 7434, 7445, 
graph20-1.txt, 26651, 15580, 12113, 8817, 7886, 7514, 7534, 7454, 7464, 12133, 
graph20-7.txt, 10641, 7925, 7424, 7213, 7154, 7143, 7144, 7153, 7164, 7154, 
