File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph20-2.txt, 319638, 222623, 293698, 198938, 278790, 162098, 366286, 249384, 303297, 233383, 
graph20-9.txt, 369853, 335177, 271355, 285112, 238874, 289089, 232171, 304379, 262679, 281746, 
graph20-8.txt, 301252, 187727, 256017, 152079, 257990, 130868, 228614, 140277, 224116, 545907, 
graph20-6.txt, 342000, 440357, 285352, 383209, 234265, 363451, 248663, 370734, 235508, 331721, 
graph20-10.txt, 366206, 222964, 366307, 266847, 394189, 273580, 815090, 253001, 332011, 241699, 
graph20-4.txt, 207274, 296894, 177457, 282828, 188548, 272919, 159583, 268230, 191734, 252250, 
graph20-3.txt, 170223, 138253, 131811, 154484, 141279, 130357, 157790, 153602, 148192, 139946, 
graph20-5.txt, 168060, 170644, 143563, 132031, 135267, 128324, 112093, 107604, 107304, 105160, 
graph20-1.txt, 150616, 165514, 136249, 124466, 127853, 122833, 133123, 127302, 109198, 107695, 
graph20-7.txt, 174461, 146409, 147721, 120319, 115610, 121140, 126461, 128435, 127903, 114387, 
