File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph100-7.txt, 1058733, 922934, 899660, 907594, 909979, 906652, 907604, 904689, 906352, 909178, 
graph100-8.txt, 1107857, 977588, 971417, 940718, 1039326, 914508, 942962, 929216, 1044756, 955747, 
graph100-3.txt, 996674, 945778, 936600, 939455, 942150, 937201, 944906, 917113, 918696, 937893, 
graph100-2.txt, 957340, 946279, 939646, 954464, 943473, 900992, 909148, 924206, 944946, 949485, 
graph100-6.txt, 969312, 1059294, 964083, 957540, 968140, 1047081, 976236, 1078070, 1029087, 966427, 
graph100-9.txt, 915349, 933815, 934105, 933273, 927592, 919547, 935989, 957380, 953513, 931901, 
graph100-1.txt, 948633, 952230, 943293, 944755, 948253, 940898, 949936, 949564, 963912, 941299, 
graph100-10.txt, 1450452, 1395607, 966317, 996264, 993749, 976125, 974923, 1020981, 968661, 1043604, 
graph100-5.txt, 964854, 960115, 962419, 1081477, 989131, 974763, 961077, 980283, 959023, 954705, 
graph100-4.txt, 981266, 973020, 980975, 1014760, 977909, 1007335, 963241, 981686, 967859, 964303, 
