File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph10-4.txt, 73669, 66926, 65814, 91663, 70342, 67307, 64902, 64020, 66215, 64401, 
graph10-7.txt, 71615, 73979, 69711, 66014, 66445, 66295, 65854, 66094, 72437, 66385, 
graph10-9.txt, 80562, 69902, 67096, 71505, 64993, 65223, 65063, 64872, 65063, 86924, 
graph10-6.txt, 66656, 58841, 57939, 61025, 59081, 58730, 58951, 61125, 59261, 58010, 
graph10-10.txt, 55635, 55826, 53040, 53551, 69852, 72567, 69290, 66676, 63850, 65062, 
graph10-2.txt, 74931, 67527, 71265, 73418, 73789, 71234, 69601, 71064, 62358, 63079, 
graph10-8.txt, 97854, 73188, 72277, 69571, 77566, 62388, 54583, 53210, 52740, 53150, 
graph10-5.txt, 69591, 62889, 61816, 61366, 68109, 62387, 61566, 61506, 62017, 61486, 
graph10-3.txt, 72447, 68159, 68710, 75242, 66555, 69161, 68168, 67086, 74350, 83668, 
graph10-1.txt, 91062, 81764, 87384, 74099, 81784, 79850, 68008, 62288, 61916, 72306, 
