File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph15-9.txt, 223811, 200537, 193224, 191942, 192132, 197652, 189787, 189828, 189437, 189728, 
graph15-5.txt, 223201, 248118, 219484, 199165, 194256, 193325, 217059, 193414, 209024, 192543, 
graph15-3.txt, 209785, 45255, 193655, 199867, 200237, 190449, 190438, 224633, 213032, 197051, 
graph15-1.txt, 211539, 211629, 202392, 194326, 191571, 196801, 193184, 25227, 192182, 191431, 
graph15-7.txt, 207701, 233871, 199466, 196881, 188015, 188846, 187623, 244520, 213422, 191060, 
graph15-2.txt, 189167, 176823, 33322, 179028, 177865, 190810, 169630, 222579, 173397, 171964, 
graph15-10.txt, 193064, 182895, 191561, 177415, 175771, 175220, 175321, 180901, 24526, 174248, 
graph15-8.txt, 191120, 204124, 184798, 171193, 167656, 173617, 166895, 168487, 166874, 166414, 
graph15-4.txt, 186021, 182955, 174028, 23104, 181262, 172114, 171503, 202462, 175251, 179859, 
graph15-6.txt, 194076, 186982, 21681, 176062, 175300, 18616, 175040, 174489, 17974, 176262, 
