File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph50-5.txt, 3130348, 3179509, 3097688, 3077752, 3291626, 3060690, 3089563, 3194316, 3097388, 3159652, 
graph50-9.txt, 3082359, 3109440, 3077571, 3163910, 3091807, 3081368, 3078482, 3122804, 3089873, 3078723, 
graph50-7.txt, 3047726, 3052544, 3248656, 3052916, 3068795, 3177796, 3077220, 3089253, 3281687, 3047686, 
graph50-6.txt, 3181622, 3096035, 3080326, 3074575, 3077090, 3065899, 3069276, 3138233, 3210305, 3182454, 
graph50-2.txt, 3276347, 3105994, 3084393, 3223581, 3094502, 3069616, 3249398, 3090475, 3087479, 5290997, 
graph50-8.txt, 3118857, 3117284, 3110512, 3120269, 3149073, 3156667, 3102226, 3111153, 3109550, 3160934, 
graph50-3.txt, 3055640, 3059427, 3046444, 3046844, 3093630, 3052995, 3044851, 3033470, 3061170, 3102036, 
graph50-1.txt, 3016037, 2991412, 3001710, 3256622, 3122634, 2977095, 3023451, 3016137, 3057855, 3011709, 
graph50-10.txt, 3048618, 3059738, 3075096, 3523393, 3205897, 3069255, 3106825, 3071880, 3066280, 3056602, 
graph50-4.txt, 3075637, 3130880, 3115952, 3088251, 3094803, 3053596, 3085145, 3137552, 3091938, 3078091, 
