File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph100-7.txt, 1013661, 777024, 703007, 635073, 720620, 612571, 675637, 591382, 596321, 597052, 
graph100-8.txt, 631776, 632497, 657464, 650360, 722954, 787534, 648047, 695794, 732603, 718416, 
graph100-3.txt, 710592, 640332, 638599, 667872, 637336, 644199, 638468, 636194, 638098, 637306, 
graph100-2.txt, 706384, 602673, 604966, 603334, 610106, 762678, 609726, 704330, 605768, 703899, 
graph100-6.txt, 626446, 615486, 708919, 611449, 609095, 625174, 622108, 633920, 663866, 649960, 
graph100-9.txt, 627388, 605628, 608343, 603083, 607611, 598565, 605547, 605568, 595720, 596321, 
graph100-1.txt, 600950, 594598, 605007, 693019, 677010, 842806, 703509, 585301, 593716, 587634, 
graph100-10.txt, 606439, 600358, 624092, 600538, 611259, 626897, 637327, 699591, 637627, 712235, 
graph100-5.txt, 612871, 693711, 612661, 606890, 638108, 645661, 687710, 680987, 600900, 680336, 
graph100-4.txt, 652315, 669636, 666931, 594357, 574290, 682790, 570443, 574581, 586212, 586512, 
