File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph25-7.txt, 17773, 16500, 15779, 16420, 15488, 15468, 15338, 14227, 13215, 15388, 
graph25-6.txt, 14136, 14627, 14637, 13394, 25196, 27782, 27821, 27992, 32149, 33021, 
graph25-10.txt, 35285, 28542, 29184, 28543, 27962, 27892, 25267, 25257, 25287, 15438, 
graph25-9.txt, 12653, 12253, 11661, 11501, 11481, 11491, 11471, 11542, 11611, 11421, 
graph25-5.txt, 12954, 11682, 12774, 11622, 11611, 11711, 12884, 12092, 14216, 12763, 
graph25-8.txt, 14366, 21860, 13815, 13324, 13274, 13835, 12924, 12132, 12093, 12894, 
graph25-2.txt, 14517, 14597, 13515, 14207, 14296, 14116, 13315, 18053, 14186, 12323, 
graph25-3.txt, 13515, 14507, 12774, 20218, 12113, 17863, 12533, 13154, 12513, 13174, 
graph25-1.txt, 14456, 14437, 12733, 12794, 12844, 12062, 15028, 12112, 12122, 23924, 
graph25-4.txt, 14206, 12693, 12383, 12493, 12082, 12262, 12193, 12022, 12644, 12262, 
