File, time(ns)1, time(ns)2, time(ns)3, time(ns)4, time(ns)5, time(ns)6, time(ns)7, time(ns)8, time(ns)9, time(ns)10
graph50-5.txt, 141261, 96518, 90988, 140499, 140029, 121945, 105315, 104713, 115222, 102559, 
graph50-9.txt, 96117, 104002, 105725, 104753, 122205, 115393, 109482, 117767, 107508, 91128, 
graph50-7.txt, 97159, 96358, 94905, 96889, 90337, 88113, 90287, 86590, 87652, 95596, 
graph50-6.txt, 96658, 91719, 85217, 84887, 92591, 85548, 79787, 81270, 80068, 79467, 
graph50-2.txt, 102619, 97580, 96047, 93854, 88463, 87963, 94384, 88042, 102038, 113049, 
graph50-8.txt, 99924, 98492, 102079, 97119, 89906, 90637, 89335, 90537, 89405, 89635, 
graph50-3.txt, 86189, 83555, 82553, 82352, 81721, 82052, 81170, 90136, 153002, 83474, 
graph50-1.txt, 104884, 94133, 100686, 98322, 87331, 87562, 110233, 83063, 82542, 83715, 
graph50-10.txt, 85798, 104232, 92551, 96147, 126904, 127024, 118028, 137824, 118348, 92060, 
graph50-4.txt, 100345, 89054, 91018, 88142, 92581, 81611, 84496, 81140, 80970, 90166, 
