|   0 |  52 |  49 |  13 | 124 |  78 |  50 |  58 |  27 |  38 |  26 | 110 |  53 |  47 |  32 
|  25 |   0 |  72 |  38 | 111 |  96 |  73 |  83 |  52 |  63 |   9 | 118 |  76 |  34 |  57 
|  80 |  55 |   0 |  56 | 100 |  78 |  62 |  75 |  45 |  80 |  64 | 107 |   4 |  89 |  74 
|  29 |  81 |  44 |   0 | 115 | 100 |  79 |  87 |  56 |  25 |  13 |  97 |  48 |  38 |  19 
|  26 |  11 |  37 |  26 |   0 |  66 |  38 |  46 |  15 |  22 |  20 |   7 |  38 |  45 |  45 
|  57 |  83 |  79 |  35 | 126 |   0 |  85 |  93 |  62 |  26 |  41 |  98 |  83 |  66 |  20 
|  32 |  38 |  47 |   3 |  94 | 103 |   0 |  90 |  59 |  18 |  16 |  90 |  51 |  41 |  12 
|  42 |  48 |  57 |  13 |  90 |  20 |  10 |   0 |  69 |  25 |  26 |  97 |  61 |  49 |  19 
|  40 |  25 |  22 |  11 | 117 |  51 |  23 |  31 |   0 |  36 |  24 | 108 |  26 |  49 |  30 
|  31 |  83 |  74 |  30 | 117 | 102 |  81 |  89 |  58 |   0 |  15 | 124 |  78 |  40 |  49 
|  16 |  68 |  65 |  29 | 102 |  87 |  66 |  74 |  43 |  54 |   0 | 109 |  69 |  25 |  48 
|  29 |   4 |  49 |  38 |  28 |  78 |  38 |  58 |  27 |  15 |  13 |   0 |  31 |  38 |  50 
|  81 |  66 |  63 |  52 | 152 |  91 |  58 |  71 |  41 |  76 |  65 | 148 |   0 |  90 |  70 
|  77 |  88 | 105 |  61 |  77 |  62 |  58 | 123 |  92 |  46 |  61 |  84 | 109 |   0 |  70 
|  37 |  82 |  59 |  15 | 106 | 108 |  87 |  95 |  64 |   6 |  21 |  78 |  63 |  46 |   0 
