|   0 |  59 |  39 |  61 |  57 |  28 |  50 |  41 |  50 |  25 |  44 |  29 |  28 |  63 |  55 
|  26 |   0 |  22 |  26 |  35 |  17 |  13 |  24 |  33 |  41 |  12 |  12 |  20 |  19 |  29 
|  24 |  41 |   0 |  28 |  37 |  13 |  23 |  26 |  35 |  41 |   8 |  14 |  22 |  48 |  40 
|  25 |  40 |  21 |   0 |   9 |  21 |  15 |  23 |  32 |  40 |  16 |  11 |  19 |  26 |  40 
|  29 |  31 |  25 |   4 |   0 |  23 |  19 |  27 |  36 |  44 |  18 |  15 |  23 |  17 |  31 
|  15 |  49 |  11 |  39 |  48 |   0 |  22 |  13 |  22 |  30 |  16 |   1 |   9 |  35 |  27 
|  21 |  55 |  17 |  40 |  49 |   6 |   0 |  19 |  28 |  36 |   1 |   7 |  15 |  41 |  33 
|  23 |  57 |  19 |  42 |  49 |   8 |   9 |   0 |   9 |  17 |   3 |   9 |  17 |  42 |  34 
|  17 |  51 |  22 |  44 |  40 |  11 |  33 |  24 |   0 |   8 |  31 |  12 |  11 |  46 |  38 
|   9 |  43 |  14 |  36 |  32 |   3 |  25 |  16 |  25 |   0 |  19 |   4 |   3 |  38 |  30 
|  20 |  54 |  16 |  39 |  48 |   5 |  27 |  18 |  27 |  35 |   0 |   6 |  14 |  40 |  32 
|  14 |  48 |  10 |  38 |  47 |  10 |  21 |  12 |  21 |  29 |  15 |   0 |   8 |  45 |  37 
|   6 |  40 |  13 |  41 |  50 |   2 |  24 |  15 |  24 |  31 |  18 |   3 |   0 |  37 |  29 
|  37 |  56 |  31 |  40 |  49 |   6 |  44 |  35 |  44 |  42 |   1 |  32 |  40 |   0 |  14 
|  29 |  42 |  25 |  48 |  57 |  14 |  32 |  27 |  36 |  44 |   9 |  15 |  23 |   8 |   0 
