|   0 |  54 |  18 |   3 |  77 |  59 |  46 |  20 |  37 |  60 |  16 |  42 |  30 |  46 |  47 
|  75 |   0 |  42 |  63 |  96 |   5 |  87 |  71 |  63 | 112 |  48 |  41 |  89 |  84 |  99 
|  69 |  79 |   0 |  58 | 132 |  84 |  53 |  85 | 102 |  70 |  71 |  24 |  55 |  60 |  57 
|  11 |  51 |  15 |   0 |  74 |  56 |  43 |  31 |  48 |  57 |  13 |  39 |  27 |  43 |  44 
|   5 |  59 |  23 |   8 |   0 |  64 |  51 |  25 |  42 |  65 |  21 |  22 |  35 |  51 |  52 
|  70 | 116 |  37 |  73 |  91 |   0 |  90 |  90 | 107 | 107 |  43 |  36 |  92 |  83 |  94 
|  16 |  26 |  20 |   5 |  79 |  31 |   0 |  36 |  53 |  32 |  18 |  44 |   2 |  48 |  19 
|  28 |  68 |  32 |  17 |  84 |  53 |  60 |   0 |  17 |  74 |  30 |  56 |  44 |  60 |  61 
|  11 |  51 |  15 |   0 |  67 |  36 |  43 |   8 |   0 |  57 |  13 |  39 |  27 |  43 |  44 
|  31 |  71 |  35 |  20 |  63 |  35 |  63 |  51 |  68 |   0 |   2 |  59 |  47 |  43 |   2 
|  32 |  86 |  50 |  35 |  61 |  91 |  78 |  52 |  69 |  92 |   0 |  62 |  62 |  78 |  79 
|  72 |  91 |  76 |  61 | 135 |  96 |  65 |  72 |  89 |  77 |  74 |   0 |  67 |  47 |  64 
|  14 |  24 |  18 |   3 |  77 |  29 |  46 |  34 |  51 |  30 |  16 |  42 |   0 |  46 |  17 
|  25 |  65 |  29 |  14 |  88 |  50 |  57 |  25 |  42 |  30 |  27 |  53 |  41 |   0 |  17 
|  29 |  69 |  33 |  18 |  76 |  33 |  61 |  49 |  66 |  13 |  15 |  57 |  45 |  56 |   0 
