|   0 |  31 |  39 |  60 |  34 |  94 |  63 |  40 |  41 |  28 |  72 |  24 |  30 |  53 |  41 |  45 |  38 |  22 |  35 |  21 
|  86 |   0 |  88 |  29 |  89 |  81 |  63 |  42 |  66 |  83 |  55 |  82 |  85 |  59 |  90 |  72 |  93 |  77 |  64 |  76 
|  10 |  12 |   0 |  41 |  15 |  75 |  43 |  21 |  13 |   9 |  33 |  25 |  11 |  45 |   2 |  50 |  19 |   3 |  16 |   2 
|  57 |  51 |  59 |   0 |  69 |  75 |  34 |  73 |  37 |  55 |  26 |  54 |  65 |  39 |  61 |  43 |  67 |  57 |  36 |  56 
|  15 |   5 |   5 |  34 |   0 |  80 |  37 |  26 |   7 |  14 |  38 |  30 |  16 |  50 |   7 |  53 |   4 |   8 |  21 |   7 
|  37 |  68 |  63 |  24 |  71 |   0 |  58 |  25 |  36 |  65 |  50 |   6 |  67 |  63 |  58 |  67 |  62 |  59 |  31 |  58 
|  35 |  66 |  55 |  47 |  61 | 121 |   0 |  52 |   3 |  50 |  72 |  41 |  57 |  73 |  41 |  65 |  54 |  57 |  23 |  56 
|  93 |  83 |  83 |  94 |  98 | 108 | 108 |   0 |  66 |  42 | 116 |  69 |  94 |  85 |  85 | 103 |  82 |  36 |  69 |  85 
|  62 |  64 |  52 |  44 |  67 | 119 |  59 |  57 |   0 |  61 |  70 |  38 |  63 |  70 |  54 |  62 |  51 |  55 |  20 |  54 
|  58 |  52 |  84 |  52 |  92 | 127 |  86 |  46 |  89 |   0 |  78 |  27 |  88 |  69 |  86 |  87 |  83 |  80 |  52 |  79 
|  31 |  33 |  33 |  62 |  48 |  49 |  49 |  47 |  46 |  42 |   0 |  28 |  44 |  21 |  35 |  17 |  41 |  36 |  10 |  35 
|  31 |  62 |  57 |  91 |  65 | 125 |  64 |  19 |  67 |  59 |  90 |   0 |  61 |  84 |  59 |  76 |  56 |  53 |  25 |  52 
|  19 |   9 |   9 |  38 |   4 |  84 |  41 |  10 |  11 |   5 |  42 |  32 |   0 |  34 |  11 |  52 |   8 |  12 |  25 |  11 
|  44 |  12 |  34 |  41 |  30 |  90 |  44 |  36 |  37 |  24 |  67 |  23 |  26 |   0 |  36 |  18 |  34 |  18 |   5 |  17 
|  40 |  64 |  64 |  41 |  74 |  80 |  41 |  42 |  38 |  63 |  31 |  23 |  70 |  52 |   0 |  48 |  72 |  57 |  41 |  61 
|  26 |  20 |  16 |  49 |  31 |  91 |  52 |  37 |  29 |  25 |  49 |  31 |  27 |   8 |  18 |   0 |  30 |  19 |  13 |  18 
|  11 |  13 |   1 |  42 |  16 |  76 |  44 |  22 |  14 |  10 |  34 |  26 |  12 |  46 |   3 |  51 |   0 |   4 |  17 |   3 
|  57 |  47 |  47 |  58 |  62 |  72 |  90 |  52 |  60 |   6 |  80 |  33 |  58 |  75 |  49 |  93 |  46 |   0 |  58 |  49 
|  42 |  44 |  32 |  73 |  47 | 107 |  39 |  37 |  42 |  41 |  65 |  18 |  43 |  77 |  34 |  82 |  31 |  35 |   0 |  34 
|  28 |  10 |  18 |  39 |  13 |  73 |  50 |  19 |  20 |   7 |  51 |  32 |   9 |  43 |  20 |  61 |  17 |   1 |  14 |   0 
