|   0 |  56 |  60 |  25 |  27 |  50 |  50 |  11 |  55 |  56 |  73 |  49 |  36 |   6 | 101 |  70 |  16 |  44 |  80 |  43 
|  75 |   0 |   4 |   7 |  28 |  33 |  32 |   5 |  44 |   0 |  30 |   2 |  33 |   3 |  70 |  45 |  13 |  23 |  43 |  40 
|  93 |  86 |   0 |  31 |  45 |  48 |  56 |   5 |  59 |  24 |  79 |  65 |  50 |  20 |  99 |  53 |  11 |  90 |  51 |  57 
| 110 |  87 |  40 |   0 |  53 |  65 |  25 |  45 |  61 |  64 |  48 |  64 |  42 |  49 | 116 |  63 |  51 | 101 |  61 |  49 
| 123 |  72 |  55 |  15 |   0 |  77 |  40 |  34 |  76 |  72 |  63 |  74 |  57 |  64 | 128 |  43 |  66 |  95 |  76 |  64 
|  80 |  47 |  21 |  28 |  13 |   0 |  50 |  21 |  21 |  44 |  45 |  49 |   2 |  41 |  51 |  45 |  32 |  70 |  46 |   9 
|  85 |  89 |  63 |  47 |  32 |  42 |   0 |  63 |  63 |  76 |  23 |  91 |  44 |  81 |  93 |  38 |  72 | 112 |  36 |  51 
| 123 |  90 |  64 |  71 |  56 |  43 |  83 |   0 |  54 |  87 |  78 |  92 |  45 |  84 |  94 |  81 |  75 | 113 |  79 |  52 
|  85 |  52 |  40 |  33 |  18 |  19 |  29 |  26 |   0 |  52 |  24 |  54 |   7 |  55 |  70 |  27 |  50 |  75 |  25 |  14 
|  75 |  80 |   4 |   7 |  46 |  33 |  32 |   5 |  54 |   0 |  55 |  69 |  35 |  24 |  84 |  57 |  15 |  94 |  55 |  42 
|  62 |  82 |  57 |  35 |  20 |  74 |  32 |  54 |  91 |  53 |   0 |  84 |  76 |  68 |  90 |  15 |  68 | 106 |  13 |  44 
|  73 |  49 |  50 |  10 |  26 |  45 |  35 |  34 |  50 |  49 |  28 |   0 |  31 |   1 |  68 |  43 |  11 |  37 |  41 |  38 
|  78 |  45 |  43 |  26 |  11 |  38 |  48 |  19 |  19 |  45 |  43 |  47 |   0 |  48 |  89 |  43 |  54 |  68 |  44 |   7 
|  73 |  75 |  65 |  36 |  25 |  44 |  61 |  49 |  49 |  75 |  73 |  77 |  30 |   0 |  95 |  68 |  10 |  98 |  74 |  37 
|  91 |  67 |  71 |  36 |  49 |  71 |  61 |  60 |  76 |  67 |  29 |  26 |  57 |  27 |   0 |  44 |  37 |  55 |  42 |  64 
|  80 |  67 |  42 |  45 |  49 |  59 |  17 |  43 |  80 |  38 |  40 |  69 |  61 |  62 | 110 |   0 |  53 |  90 |  53 |  29 
|  82 |  75 |  66 |  26 |  34 |  53 |  51 |  58 |  58 |  75 |  72 |  77 |  39 |   9 | 104 |  77 |   0 |  98 |  83 |  46 
|  78 |  12 |  16 |  15 |  31 |  40 |  40 |  17 |  21 |  12 |  33 |   5 |  28 |   6 |  73 |  42 |  16 |   0 |  46 |  35 
|  82 |  69 |  44 |  47 |  51 |  61 |  19 |  45 |  82 |  40 |  42 |  71 |  63 |  64 |  77 |   2 |  55 |  92 |   0 |  31 
|  71 |  38 |  36 |  45 |  64 |  71 |  47 |  41 |  72 |  38 |  68 |  40 |  53 |  41 |  87 |  36 |  47 |  61 |  81 |   0 
