|   0 |  31 |  39 |  50 |  26 |  38 |  49 |  28 |  47 |  26 
|  38 |   0 |  40 |  35 |  57 |  65 |  18 |  66 |  16 |  42 
|  11 |  40 |   0 |  46 |  37 |  25 |  57 |  39 |  56 |  37 
|   3 |  22 |   5 |   0 |  29 |  30 |  17 |  31 |  15 |  29 
|  25 |   5 |  14 |  26 |   0 |  39 |  23 |  47 |  21 |   0 
|  24 |  15 |  26 |  21 |  30 |   0 |  32 |  52 |  31 |  30 
|  20 |   5 |  22 |  17 |  44 |  47 |   0 |  48 |  21 |  29 
|  25 |  42 |  27 |  22 |  51 |  52 |  37 |   0 |  35 |  51 
|  22 |   7 |  24 |  19 |  46 |  49 |   2 |  50 |   0 |  31 
|  25 |  20 |  14 |  41 |  15 |  39 |  38 |  47 |  36 |   0 
