|   0 |  48 |  61 |  58 |  16 |  42 |  40 |  55 |  39 |  11 
|  40 |   0 |  58 |  65 |  30 |  64 |  23 |  59 |  79 |  33 
|  36 |  51 |   0 |  42 |  52 |  26 |  43 |   1 |  42 |  47 
|  54 |  47 |  83 |   0 |  30 |  71 |  37 |  46 |  93 |  47 
|  24 |  26 |  54 |  46 |   0 |  48 |   7 |  44 |  63 |  17 
|  26 |  40 |  19 |  16 |  42 |   0 |  49 |  20 |  61 |  37 
|  17 |  19 |  60 |  42 |  15 |  41 |   0 |  54 |  56 |  10 
|  35 |  65 |  44 |  41 |  51 |  25 |  58 |   0 |  59 |  46 
|  18 |  20 |  52 |  43 |  16 |  33 |   1 |  53 |   0 |  11 
|   7 |  31 |  50 |  47 |   5 |  31 |  12 |  44 |  46 |   0 
