|   0 |  84 |  11 |  57 |  30 |  48 | 138 | INF | 110 |  20 
|  99 |   0 | 110 |  76 |  49 |  67 | 168 | INF | 129 |  76 
|  69 |  73 |   0 |  46 |  19 |  37 | 127 | INF |  99 |   9 
|  69 | 127 |  54 |   0 |  73 |  91 |  92 | INF | 153 |  63 
|  50 |  91 |  61 |  27 |   0 |  18 | 119 | INF |  80 |  27 
|  32 |  73 |  43 |  75 |  62 |   0 |  90 | INF |  62 |   9 
| 110 | 134 |  61 |  41 |  80 |  98 |   0 | INF | 160 |  70 
|  20 | 159 | 215 | 161 | 208 |  86 |   8 |   0 | 148 |  95 
|  39 |  45 |  50 |  69 |  69 |  87 |  28 | INF |   0 |  48 
|  75 |  64 |  86 |  66 | 105 |  43 | 133 | INF | 105 |   0 
