|   0 |  73 |  21 |  41 |  35 |  64 |  33 |  54 |  81 |  41 
|  26 |   0 |  47 |  67 |  61 |  90 |  59 |  80 | 107 |  67 
|  97 |  78 |   0 |  54 |  14 |  43 |  68 |  67 |  60 |  54 
|  50 |  63 |  60 |   0 |  74 |  38 |  23 |  13 |  55 |   0 
|  83 |  64 |  32 |  62 |   0 |  29 |  54 |  75 |  46 |  52 
|  54 |  50 |  75 |  95 |  89 |   0 |  87 | 108 |  17 |  95 
|  58 |  40 |  68 |   8 |  82 |  46 |   0 |  21 |  63 |   8 
|  80 |  98 | 101 |  66 |  69 |  73 |  58 |   0 |  90 |  35 
| 135 | 148 | 156 | 116 | 170 | 123 | 108 | 129 |   0 |  85 
|  50 |  63 |  71 |  31 |  85 |  38 |  23 |  44 |  55 |   0 
