|   0 |  82 |  92 |  44 |  41 |  68 |  75 |  74 |  62 |  54 
|   9 |   0 |  48 |  28 |  18 |   6 |  13 |  56 |  15 |   7 
|  10 |   9 |   0 |  29 |  19 |   7 |  14 |  57 |  16 |   8 
|  28 |  61 |  52 |   0 |   2 |  36 |  43 |  73 |  19 |  34 
|  38 |  71 |  62 |  10 |   0 |  46 |  53 |  83 |  29 |  44 
|   3 |  29 |  42 |  22 |  12 |   0 |   7 |  50 |   9 |   1 
|  36 |  49 |  75 |  34 |  24 |  55 |   0 |  43 |  42 |  34 
|  51 |  70 |  63 |  35 |  30 |  57 |  64 |   0 |  54 |  58 
|   9 |  42 |  33 |  31 |  29 |  17 |  24 |  67 |   0 |  15 
|   2 |  28 |  41 |  39 |  31 |  25 |  32 |  75 |   8 |   0 
