|   0 |  94 | 109 |  83 |  83 | 142 |  92 | 103 |  65 |  85 
|  85 |   0 |  77 |  51 |  51 |  48 |  60 |   9 |  33 |  14 
|  18 |  37 |   0 |  26 |   9 |  85 |  35 |  46 |  43 |  11 
|  96 |  11 |  88 |   0 |  62 |  59 |   9 |  20 |  44 |  25 
|  44 |  28 |  26 |  17 |   0 |  76 |  26 |  37 |  34 |   2 
|  37 |  39 |  42 |  28 |  16 |   0 |  37 |  48 |  10 |  18 
| 102 |  27 |  84 |  78 |  78 |  75 |   0 |  36 |  60 |  41 
|  76 |  74 |  72 |  63 |  46 |  39 |  72 |   0 |  37 |   5 
|  62 |  29 |  44 |  18 |  18 |  77 |  27 |  38 |   0 |  20 
|  78 |  61 |  76 |  50 |  50 | 109 |  59 |  70 |  32 |   0 
