|   0 |  84 |  95 | 115 | 107 |  87 |  95 | 154 |  35 | 144 
|  71 |   0 |  11 |  60 |  71 |   3 |  11 |  70 |  17 |  60 
| 117 |  55 |   0 |  86 |  78 |  49 |  66 | 116 |   6 |  98 
| INF | INF | INF |   0 | INF | INF | INF | INF | INF | INF 
| 127 |  56 |  67 |  75 |   0 |  59 |  67 | 126 |  73 |  75 
|  68 |  84 |  29 |  57 | 107 |   0 |  95 |  67 |  35 |  57 
| 183 | 116 |  66 | 135 |  60 | 115 |   0 | 182 |  72 | 135 
|   1 |  85 |  75 |  61 |  76 |  46 |  52 |   0 |  36 |  61 
| 120 |  49 |  60 |  80 |  72 |  52 |  60 | 119 |   0 | 109 
| 117 |  46 |  57 |   0 | 111 |  49 |  57 | 116 |  39 |   0 
