|   0 |  45 |  43 |  45 |  45 |  49 |  31 |  18 |  72 |  41 
|  17 |   0 |  38 |  40 |  11 |   5 |  37 |  35 |  58 |  58 
|  11 |  56 |   0 |   2 |   2 |  32 |  14 |  29 |  45 |  43 
|  40 |  85 |  62 |   0 |  64 |  48 |  62 |  58 |  43 |  81 
|  37 |  82 |  54 |  34 |   0 |  47 |  46 |  55 |  75 |  52 
|  44 |  89 |  33 |  35 |  28 |   0 |  46 |  62 |  63 |  61 
|  24 |  69 |  13 |  15 |  15 |  18 |   0 |  27 |  58 |  32 
|  36 |  48 |  25 |  27 |  27 |  31 |  13 |   0 |  54 |  23 
|  43 |  88 |  32 |  10 |  34 |  13 |  19 |  46 |   0 |  51 
|  13 |  58 |   2 |   4 |   4 |  34 |  16 |  31 |  47 |   0 
